Carnet,DPI,Nombre,Carrera,Password,Creditos,Edad,Correo 
201390187,7585394147077,Auron Play,ingenieria Electrica,Cics4,95,24,AuronPlay_34@gmail.es
201428827,9967251801944,Auron Play,ingenieria Mecanica,mLooB20,175,24,AuronPlay_33@gmail.com
201422428,7158250959776,Luis Garcia,ingenieria Mecanica,s8G3X7u,148,19,LuisGarcia64@undefined.es
201452363,6390848286972,Luis Garcia,ingenieria Electrica,37G13A,7,22,LuisGarcia_60@hotmail.org
201447893,4832229846759,josue perez,ingenieria en ciencias y sistemas,SUeopf,139,26,josueperez52@gmail.es
201590600,7718235875463,Luis Garcia,ingenieria Mecanica,s4Ce3gB,225,18,LuisGarcia.35@undefined.org
201927645,7747563219002,josue perez,ingenieria industrial,jKRbOt,50,29,josueperez_70@yahoo.com
201467158,9161516343598,josue perez,ingenieria industrial,Dm8PpKC,127,19,josueperez_49@hotmail.org
201523296,8564114920950,Lionel Messi,ingenieria Quimica,a6eQqn,148,24,LionelMessi_26@hotmail.com
201797340,0953326814787,Lionel Messi,ingenieria Electrica,6GOWpc,0,21,LionelMessi_34@gmail.org
201458475,1642428530637,josue perez,ingenieria Mecanica industrial,SFpqs7U,145,29,josueperez.98@outlook.com
201959514,9127925069224,Lionel Messi,ingenieria en ciencias y sistemas,z3V1z5,107,25,LionelMessi_54@aol.com
201308012,5485613619424,Alma Maria Hernandez,ingenieria Mecanica,tAvFA,80,21,AlmaMariaHernandez.51@yahoo.org
201352513,4968896638959,Luis Garcia,ingenieria industrial,TstM2Q,149,29,LuisGarcia_60@gmail.es
201460722,5025854620856,josue perez,ingenieria Electrica,onkt5O,96,20,josueperez_36@hotmail.org
201166543,7273583268316,Lionel Messi,ingenieria industrial,gMJer3T,63,27,LionelMessi_76@hotmail.org
201783539,5985122654913,Alma Maria Hernandez,ingenieria en ciencias y sistemas,in6LmyV,86,18,AlmaMariaHernandez.47@yahoo.org
201246582,4532243212878,Lionel Messi,ingenieria Quimica,JKX5EK,212,29,LionelMessi.49@hotmail.com
201645398,2798891174535,Alma Maria Hernandez,ingenieria en ciencias y sistemas,bcdvVnQ,182,25,AlmaMariaHernandez_19@yahoo.es
201323780,1915208489510,Luis Garcia,ingenieria industrial,YBy2V7,76,21,LuisGarcia.37@outlook.es
201410017,2643819993594,Auron Play,ingenieria industrial,0OCs96y,186,28,AuronPlay.55@hotmail.com
201093696,8820318994352,Auron Play,ingenieria Mecanica industrial,5mPho,15,21,AuronPlay59@yahoo.com
201923847,1505477589903,Alma Maria Hernandez,ingenieria Electrica,uphmuFB,80,28,AlmaMariaHernandez56@yahoo.org
201612867,0514632688774,Alma Maria Hernandez,ingenieria Quimica,42qZqP,192,20,AlmaMariaHernandez.65@yahoo.org
201005052,8761411619456,josue perez,ingenieria en ciencias y sistemas,sY03Ez,103,24,josueperez.40@hotmail.es
201446563,6395583093861,Alma Maria Hernandez,ingenieria en ciencias y sistemas,mspAl,144,23,AlmaMariaHernandez_31@gmail.es
201351806,5862749603214,Alma Maria Hernandez,ingenieria en ciencias y sistemas,J0kuib,243,29,AlmaMariaHernandez99@outlook.es
201843216,4432340026163,Alma Maria Hernandez,ingenieria Mecanica industrial,KKZE68,138,28,AlmaMariaHernandez_26@undefined.es
201380369,4865974112852,Lionel Messi,ingenieria Quimica,fkA3bs,126,20,LionelMessi_51@yahoo.org
201359828,3898177768857,Luis Garcia,ingenieria Mecanica,4MbTsY,111,28,LuisGarcia.14@gmail.com
201725199,1776178414052,Lionel Messi,ingenieria Electrica,r15zKJh,49,18,LionelMessi67@hotmail.es
201531009,8605761379722,Luis Garcia,ingenieria Quimica,Gp059Z,102,21,LuisGarcia.93@aol.es
201554088,0004634144700,Alma Maria Hernandez,ingenieria Mecanica,pJ3057W,235,26,AlmaMariaHernandez.81@hotmail.com
201323062,0936820767994,Luis Garcia,ingenieria industrial,AOh6ka,246,27,LuisGarcia.93@undefined.es
201961401,1132341335150,Auron Play,ingenieria Mecanica,f58LeG,33,19,AuronPlay23@yahoo.com
201370948,0854017225557,josue perez,ingenieria Mecanica industrial,m6eQV,85,26,josueperez.11@outlook.org
201688284,8864012441380,Lionel Messi,ingenieria industrial,kwu8Cx,15,29,LionelMessi.80@yahoo.es
201323986,7213642712544,Alma Maria Hernandez,ingenieria Mecanica industrial,7nN48Yk,171,20,AlmaMariaHernandez.73@undefined.com
201396514,3731676666623,Alma Maria Hernandez,ingenieria Electrica,sO8E5,16,23,AlmaMariaHernandez.67@aol.es
201202517,8659390716954,josue perez,ingenieria industrial,Z7930IM,237,19,josueperez95@aol.es
201561080,8175969900426,Auron Play,ingenieria Mecanica industrial,0AV8N3C,163,22,AuronPlay78@outlook.org
201870722,8942215557774,Auron Play,ingenieria Mecanica,Q4x6O,89,26,AuronPlay.28@aol.org
201531441,6195466136595,josue perez,ingenieria en ciencias y sistemas,W88jnN,121,29,josueperez.7@outlook.org
201331236,0902397378986,Luis Garcia,ingenieria Mecanica industrial,Y88cni,136,20,LuisGarcia57@outlook.org
201142256,5672294100840,Lionel Messi,ingenieria Mecanica,3wVUzX,79,18,LionelMessi26@aol.org
201953630,6080139294109,josue perez,ingenieria industrial,4Y8lQW7,13,23,josueperez.39@yahoo.com
201193144,1646448689831,Luis Garcia,ingenieria en ciencias y sistemas,WMdVcX,199,29,LuisGarcia95@hotmail.es
201714483,8206610437366,josue perez,ingenieria Electrica,Uw2qWJ,45,28,josueperez88@gmail.org
201247201,2339756005292,Luis Garcia,ingenieria industrial,MP3sG1,13,29,LuisGarcia_14@gmail.org
201298837,2608443916856,josue perez,ingenieria Quimica,9vbs0f,154,26,josueperez_3@undefined.com
